,seas_id,experience,g,ts_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,dws,ws_48,obpm,dbpm,vorp,x3p,x3p_percent,x2p_percent,ft,ft_percent,trb,ast,stl,blk,tov,pf,pts,attend,tm_win_percent,seas_avg_attend,Pos_PF,Pos_PF-SF,Pos_PG,Pos_SF,Pos_SF-SG,Pos_SG,Pos_SG-PG
260,30718,1,75,0.601,0.258,0.241,3.9,7.9,15.4,2.1,1.4,12.3,18.4,2.6,0.119,-0.4,0.7,1.3,73.0,0.356,0.579,155,0.812,337.0,248,103.0,35.0,123.0,191,1056,636903.0,0.4878048780487805,739389.365131579,0,0,0,0,0,1,0
261,30719,1,18,0.647,0.303,0.333,7.1,12.7,7.6,2.3,0.4,7.3,15.1,0.3,0.169,-0.5,1.4,0.2,7.0,0.35,0.652,17,0.773,52.0,12,11.0,1.0,6.0,21,98,807190.0,0.5365853658536586,739389.365131579,0,0,0,1,0,0,0
262,30720,6,65,0.571,0.415,0.207,2.7,6.9,27.5,1.5,0.7,11.3,26.1,1.9,0.116,2.6,-1.3,1.8,172.0,0.398,0.494,180,0.833,257.0,400,66.0,16.0,145.0,103,1298,788635.0,0.6463414634146342,739389.365131579,0,0,1,0,0,0,0
263,30721,1,5,0.504,0.429,0.143,1.6,4.9,7.8,2.8,2.9,21.2,11.8,0.1,0.013,-5.8,1.6,0.0,2.0,0.333,0.5,1,0.5,6.0,4,4.0,2.0,4.0,6,15,739389.365132,0.5,739389.365131579,0,0,1,0,0,0,0
264,30722,1,4,0.54,0.385,0.154,1.7,4.5,8.6,3.1,3.1,22.4,12.2,0.1,0.029,-4.9,1.9,0.0,2.0,0.4,0.5,1,0.5,5.0,4,4.0,2.0,4.0,5,15,807190.0,0.5365853658536586,739389.365131579,0,0,1,0,0,0,0
265,30723,1,1,0.0,1.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,7.2,0.0,-0.15,-16.1,-1.7,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,1,0,710481.0,0.4268292682926829,739389.365131579,0,0,1,0,0,0,0
266,30724,2,34,0.463,0.565,0.155,1.6,7.5,11.1,1.3,0.8,13.4,19.5,0.4,-0.04,-5.4,-1.1,-0.6,33.0,0.303,0.429,20,0.667,72.0,41,14.0,5.0,32.0,49,191,702052.0,0.32926829268292684,739389.365131579,0,0,0,0,0,1,0
267,30725,14,58,0.607,0.496,0.429,2.3,9.8,43.3,1.6,1.4,16.3,25.0,2.6,0.188,5.1,0.3,4.0,161.0,0.385,0.495,313,0.867,354.0,618,71.0,31.0,195.0,112,1216,839261.0,0.6585365853658537,739389.365131579,0,0,1,0,0,0,0
268,30726,14,18,0.486,0.306,0.163,2.7,10.3,12.6,2.1,3.2,13.2,15.7,0.2,0.017,-5.7,1.2,-0.1,3.0,0.2,0.559,4,0.5,30.0,15,7.0,6.0,8.0,32,51,641562.0,0.4268292682926829,739389.365131579,1,0,0,0,0,0,0
269,30727,2,45,0.589,0.059,0.286,9.2,17.0,5.5,0.4,2.7,11.8,21.2,0.7,0.077,-2.1,-1.4,-0.3,4.0,0.2,0.58,68,0.701,267.0,30,7.0,27.0,51.0,108,450,739389.365132,0.5,739389.365131579,0,0,0,0,0,0,0
270,30728,2,21,0.655,0.021,0.404,7.7,15.3,8.0,0.5,2.4,11.2,20.0,0.3,0.144,-1.3,-0.5,0.0,1.0,0.5,0.63,26,0.684,73.0,14,3.0,7.0,14.0,39,145,740624.0,0.5365853658536586,739389.365131579,0,0,0,0,0,0,0
271,30729,2,24,0.563,0.073,0.241,9.8,17.8,4.4,0.3,2.9,12.0,21.7,0.4,0.049,-2.5,-1.8,-0.4,3.0,0.167,0.559,42,0.712,194.0,16,4.0,20.0,37.0,69,305,759715.0,0.2073170731707317,739389.365131579,0,0,0,0,0,0,0
272,30730,9,57,0.65,0.44,0.266,10.1,14.1,8.9,1.5,2.5,15.6,17.5,1.0,0.133,-0.7,0.2,0.3,42.0,0.378,0.667,52,0.776,205.0,51,25.0,23.0,52.0,105,366,740624.0,0.5365853658536586,739389.365131579,1,0,0,0,0,0,0
273,30731,2,6,0.578,0.438,0.0,1.4,2.8,15.0,3.1,0.0,13.5,20.1,0.1,0.061,-1.9,-0.4,0.0,7.0,0.5,0.444,0,0.0,4.0,8,5.0,0.0,5.0,5,37,636903.0,0.4878048780487805,739389.365131579,0,0,0,0,0,1,0
274,30732,1,14,0.482,0.455,0.136,6.0,10.4,2.8,1.0,0.4,6.0,10.7,0.1,0.027,-4.9,-1.1,-0.2,5.0,0.25,0.5,6,1.0,37.0,4,4.0,1.0,3.0,23,45,759715.0,0.2073170731707317,739389.365131579,0,0,0,0,0,1,0
275,30733,5,63,0.613,0.343,0.372,6.4,12.6,5.0,1.7,9.6,10.1,24.7,3.8,0.177,0.7,2.0,2.2,100.0,0.355,0.585,241,0.788,426.0,60,65.0,189.0,107.0,227,1173,707836.0,0.6219512195121951,739389.365131579,0,0,0,0,0,0,0
276,30734,5,78,0.604,0.2,0.308,10.0,16.7,13.1,2.1,0.9,15.9,13.6,2.5,0.132,-0.6,1.6,1.5,29.0,0.322,0.604,96,0.691,582.0,184,83.0,21.0,97.0,190,619,739389.365132,0.5,739389.365131579,1,0,0,0,0,0,0
277,30735,5,52,0.607,0.183,0.328,10.6,17.6,15.3,2.0,1.0,16.0,14.1,1.6,0.139,0.0,1.5,1.1,19.0,0.333,0.606,67,0.657,409.0,142,53.0,15.0,68.0,133,432,728240.0,0.45121951219512196,739389.365131579,1,0,0,0,0,0,0
278,30736,5,26,0.598,0.236,0.264,8.7,14.8,8.8,2.3,0.8,15.7,12.5,0.9,0.118,-1.7,1.9,0.4,10.0,0.303,0.598,29,0.784,173.0,42,30.0,6.0,29.0,57,187,763168.0,0.524390243902439,739389.365131579,1,0,0,0,0,0,0
279,30737,3,4,0.739,0.643,0.143,2.8,8.3,11.4,0.0,4.3,11.8,18.1,0.0,0.16,3.1,0.4,0.1,4.0,0.444,0.8,2,1.0,6.0,3,0.0,2.0,2.0,3,22,728240.0,0.45121951219512196,739389.365131579,1,0,0,0,0,0,0
280,30738,6,68,0.67,0.016,0.353,11.7,17.7,7.5,1.2,3.5,11.4,16.4,4.0,0.205,1.3,1.0,2.4,1.0,0.1,0.653,162,0.733,666.0,113,54.0,84.0,93.0,153,969,777280.0,0.6219512195121951,739389.365131579,0,0,0,0,0,0,0
281,30739,4,10,0.452,0.279,0.302,7.9,15.2,5.5,2.1,1.2,12.6,17.1,0.2,0.014,-4.8,0.7,-0.1,1.0,0.083,0.516,9,0.692,38.0,6,6.0,2.0,7.0,14,44,719787.0,0.5,739389.365131579,0,0,0,0,0,1,0
282,30740,1,14,0.489,0.439,0.049,1.8,9.9,30.9,0.8,0.0,19.3,18.3,0.1,0.021,-2.1,-0.5,0.0,5.0,0.278,0.565,0,0.0,22.0,27,2.0,0.0,10.0,7,41,720543.0,0.5365853658536586,739389.365131579,0,0,1,0,0,0,0
283,30741,15,42,0.65,0.04,0.328,9.7,17.5,5.2,0.6,6.5,20.1,22.8,0.5,0.076,-3.6,-0.1,-0.1,2.0,0.4,0.65,24,0.585,107.0,11,4.0,26.0,36.0,54,186,827282.0,0.4634146341463415,739389.365131579,0,0,0,0,0,0,0
284,30742,4,32,0.646,0.324,0.417,6.5,10.4,6.4,2.4,4.2,13.5,13.6,0.8,0.142,-1.1,2.6,0.4,13.0,0.371,0.658,30,0.667,88.0,23,24.0,21.0,20.0,52,165,841632.0,0.4878048780487805,739389.365131579,0,0,0,0,0,1,0
285,30743,4,47,0.605,0.186,0.532,7.3,12.3,7.7,1.6,3.0,13.9,15.7,0.9,0.118,-2.2,1.0,0.1,3.0,0.103,0.654,58,0.699,132.0,34,20.0,19.0,31.0,67,233,687691.0,0.5121951219512195,739389.365131579,0,0,0,0,0,0,0
286,30744,2,7,0.796,0.48,0.64,7.3,12.3,14.7,1.5,3.6,13.5,16.9,0.1,0.261,2.8,1.2,0.1,6.0,0.5,0.692,15,0.938,21.0,10,3.0,4.0,5.0,15,51,710481.0,0.4268292682926829,739389.365131579,0,0,0,0,0,0,0
287,30745,3,2,0.825,0.286,0.286,0.0,11.3,5.0,3.2,0.0,27.6,15.6,0.0,0.083,-2.9,1.0,0.0,2.0,1.0,0.6,1,0.5,6.0,1,2.0,0.0,3.0,2,13,728405.0,0.4146341463414634,739389.365131579,0,0,0,0,0,1,0
288,30746,7,67,0.581,0.352,0.249,3.6,10.4,16.5,1.5,0.9,11.4,31.4,3.4,0.1,1.5,-0.2,2.0,163.0,0.335,0.576,263,0.765,459.0,232,75.0,26.0,197.0,172,1784,766240.0,0.6951219512195121,739389.365131579,0,0,0,1,0,0,0
289,30747,4,65,0.527,0.371,0.158,3.3,7.6,15.9,1.6,0.3,8.9,25.0,1.2,0.046,-1.5,-1.0,-0.2,67.0,0.289,0.542,77,0.778,170.0,132,42.0,5.0,65.0,101,704,687510.0,0.5121951219512195,739389.365131579,0,0,0,0,0,1,0
290,30748,1,49,0.559,0.483,0.231,5.1,14.1,10.7,1.5,1.2,12.6,13.5,1.2,0.099,-2.3,0.6,0.1,46.0,0.407,0.463,38,0.704,241.0,76,28.0,12.0,37.0,111,288,636903.0,0.4878048780487805,739389.365131579,1,0,0,0,0,0,0
291,30749,6,74,0.607,0.44,0.399,3.2,13.0,20.9,1.4,1.6,10.4,32.7,4.3,0.185,4.8,0.7,5.1,240.0,0.35,0.558,531,0.854,649.0,342,78.0,51.0,213.0,160,2225,766240.0,0.6951219512195121,739389.365131579,1,0,0,0,0,0,0
292,30750,1,12,0.478,0.368,0.105,3.4,7.4,22.4,1.5,2.6,16.8,15.8,0.1,0.059,-4.8,0.3,0.0,2.0,0.286,0.5,1,0.5,9.0,11,2.0,2.0,4.0,5,19,766240.0,0.6951219512195121,739389.365131579,0,0,1,0,0,0,0
293,30751,1,5,0.657,0.205,0.077,9.0,6.8,12.1,1.2,1.4,9.0,15.2,0.0,0.12,-0.9,-2.1,0.0,3.0,0.375,0.677,2,0.667,15.0,10,3.0,2.0,4.0,13,53,767374.0,0.4024390243902439,739389.365131579,0,0,0,0,0,1,0
294,30752,2,25,0.5,0.281,0.158,2.4,5.0,15.5,1.7,1.1,7.6,10.9,0.2,0.076,-2.8,0.9,0.0,5.0,0.313,0.488,6,0.667,23.0,31,9.0,3.0,5.0,13,61,811261.0,0.5,739389.365131579,0,0,1,0,0,0,0
295,30753,15,56,0.576,0.317,0.357,4.1,7.6,8.3,0.8,1.4,10.8,17.0,0.8,0.074,-2.4,-1.0,-0.4,30.0,0.288,0.58,87,0.744,144.0,69,18.0,17.0,46.0,99,437,788635.0,0.6463414634146342,739389.365131579,1,0,0,0,0,0,0
